b0,b1,b2,candidate_seed,weighted_f1,macro_f1,ordinal_mae,quadratic_weighted_kappa,first_generation,seconds,wavelengths_nm
312,208,198,3558495584,0.6586593103364284,0.6488325171312546,0.5625,0.5334040296924709,3,205.21134088514373,"[816.19, 673.97, 660.43]"
169,210,134,2615623536,0.7165144140743862,0.6969409651514797,0.45625,0.6196990424076607,3,204.7804177645594,"[621.28, 676.68, 574.3]"
447,210,170,3613992875,0.6987369287196724,0.682752816057389,0.5,0.5791156100159829,3,203.00701910210773,"[1004.52, 676.68, 622.63]"
241,220,236,3501933719,0.729511668797954,0.6956204095350514,0.45,0.6746817538896748,3,203.38381340680644,"[718.83, 690.25, 712.02]"
224,327,260,2769099185,0.7564655069700941,0.7413787283053339,0.4,0.7146866230121609,3,205.0919556710869,"[695.69, 836.91, 744.77]"
238,136,261,3113783792,0.7407108427317879,0.7143014074379835,0.43125,0.6675970565846232,3,205.13338276091963,"[714.74, 576.97, 746.14]"
407,277,113,4236163758,0.750313565036816,0.7420399740237595,0.4,0.7012048192771084,3,203.86379126273096,"[948.28, 768.05, 546.24]"
244,233,279,2597926595,0.7551967151899509,0.7467586527748871,0.38125,0.7104677060133631,3,205.0175568438135,"[722.92, 707.93, 770.79]"
176,139,296,4242348664,0.745773988005997,0.7397863568215892,0.425,0.6421052631578947,3,202.21763651818037,"[630.71, 580.99, 794.15]"
232,208,207,1436105720,0.7367961583043551,0.7195760887564167,0.44375,0.6467050864445001,3,207.32563398918137,"[706.57, 673.97, 672.62]"
143,206,119,2947701370,0.7149953335298163,0.7202082719324099,0.4625,0.6345856922285126,3,206.90048249112442,"[586.35, 671.26, 554.24]"
411,280,207,4216200810,0.7431277610574301,0.7286708790209503,0.38125,0.7404202719406675,3,208.29511437704787,"[953.89, 772.17, 672.62]"
310,245,203,567731120,0.8002919410686401,0.7913368185212846,0.33125,0.7325668582854287,3,204.7079598386772,"[813.43, 724.28, 667.2]"
191,89,148,1487555262,0.6914490527393753,0.6828810377197474,0.43125,0.6971350613915417,4,201.2526624649763,"[650.96, 514.3, 593.06]"
417,144,248,672952683,0.7592862227399211,0.7509005802541038,0.31875,0.8004788507581804,4,205.8924376978539,"[962.3, 587.69, 728.38]"
298,233,266,323428996,0.7688349033401701,0.7584972482343223,0.35625,0.7432061829967589,4,202.61742646805942,"[796.9, 707.93, 752.98]"
309,230,237,4235381296,0.6709022738268022,0.6535305365494045,0.50625,0.6467722289890377,4,202.322733535897,"[812.05, 703.85, 713.38]"
342,308,145,4228355187,0.7244755329187378,0.6989436358097616,0.425,0.6806893056259503,4,202.10513979103416,"[857.68, 810.67, 589.03]"
211,177,180,2998383281,0.6536623229371455,0.6319068536458318,0.53125,0.5921018446349702,4,201.2489656531252,"[678.04, 632.06, 636.11]"
447,269,129,3905248188,0.7661999909026656,0.7587150714840551,0.34375,0.7646767401535794,4,204.08212121296674,"[1004.52, 757.09, 567.61]"
166,240,262,4040125757,0.7085565735454205,0.7134444113424896,0.48125,0.6502200602270094,4,201.92827525688335,"[617.24, 717.47, 747.5]"
320,287,311,2700737339,0.7779011665345751,0.7696628852250385,0.40625,0.6685216549721752,4,205.26019200496376,"[827.23, 781.78, 814.81]"
310,316,61,3162965314,0.7325533415623348,0.7282431082113678,0.39375,0.7124769190187286,4,203.45804957998917,"[813.43, 821.71, 477.2]"
325,75,207,4033791443,0.7099853758625001,0.6959079696718237,0.48125,0.602348545503069,4,205.66500844992697,"[834.14, 495.73, 672.62]"
278,328,139,1028719490,0.7741870985100731,0.7578370833753743,0.38125,0.7031136857349747,4,204.2639240026474,"[769.42, 838.29, 580.99]"
399,89,240,1177908517,0.7179916933713322,0.7125404987755156,0.4625,0.6305931321540061,4,206.77112693991512,"[937.08, 514.3, 717.47]"
382,288,102,78585167,0.763566744429545,0.7484063202238591,0.40625,0.6674168542135533,4,203.75803381809965,"[913.32, 783.15, 531.58]"
398,135,272,4068905924,0.7340856144437973,0.7177732479130265,0.38125,0.7409326424870466,4,208.0818674378097,"[935.68, 575.63, 761.2]"
203,231,213,2408854493,0.7095083329247232,0.6889639823698304,0.4625,0.6426721905748317,4,206.8069389211014,"[667.2, 705.21, 680.75]"
409,117,323,45192135,0.6979615661915589,0.6783569962841771,0.53125,0.5743162901307967,5,206.01768227294087,"[951.08, 551.57, 831.38]"
308,304,259,987875329,0.7063603470072801,0.6871946332581059,0.4625,0.6513470681458003,5,202.54939721012488,"[810.67, 805.16, 743.4]"
